Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi;Macro F1-score
BSIF;13x13;11;0,6;linear;10;96,406;96,22
BSIF;13x13;11;0,6;linear;100;96,406;96,22
BSIF;13x13;10;0,6;linear;10;96,302;96,191
BSIF;13x13;10;0,6;linear;100;96,302;96,191
BSIF;15x15;12;0,4;rbf;1;96,25;96,191
BSIF;13x13;11;0,8;rbf;100;96,354;96,154
BSIF;13x13;11;0,8;rbf;10;96,354;96,154
BSIF;13x13;11;0,6;rbf;100;96,354;96,125
BSIF;13x13;11;0,6;rbf;10;96,354;96,125
BSIF;13x13;10;N/A;poly;1;96,25;96,114
BSIF;13x13;10;N/A;poly;10;96,25;96,114
BSIF;13x13;10;N/A;poly;100;96,25;96,114
BSIF;13x13;9;0,8;rbf;100;96,198;96,072
BSIF;13x13;9;0,8;rbf;10;96,198;96,072
BSIF;17x17;9;0,2;linear;10;96,354;96,042
BSIF;13x13;10;0,4;rbf;1;96,198;96,036
BSIF;13x13;11;N/A;poly;10;96,25;96,012
BSIF;13x13;11;N/A;poly;100;96,25;96,012
BSIF;13x13;11;N/A;poly;1;96,25;96,012
BSIF;17x17;9;0,2;linear;100;96,302;96,005
BSIF;13x13;9;N/A;rbf;100;96,146;95,999
BSIF;13x13;9;N/A;rbf;10;96,146;95,999
BSIF;17x17;6;0,4;linear;100;96,25;95,992
BSIF;13x13;11;0,4;rbf;10;96,146;95,952
BSIF;13x13;11;0,4;rbf;100;96,146;95,952
BSIF;13x13;10;0,4;rbf;10;95,99;95,863
BSIF;13x13;10;0,4;rbf;100;95,99;95,863
BSIF;17x17;12;0,2;rbf;1;96,042;95,861
BSIF;13x13;11;0,4;linear;1;96,042;95,832
BSIF;17x17;12;0,2;rbf;100;95,99;95,832
BSIF;17x17;12;0,2;rbf;10;95,99;95,832
BSIF;15x15;10;0,2;linear;10;95,938;95,753
BSIF;13x13;9;N/A;linear;1;95,938;95,729
BSIF;13x13;9;0,6;rbf;10;95,885;95,726
BSIF;13x13;9;0,6;rbf;100;95,885;95,726
BSIF;17x17;12;0,2;linear;1;95,885;95,687
BSIF;15x15;10;0,2;linear;100;95,833;95,643
BSIF;17x17;7;0,2;rbf;1;95,729;95,639
BSIF;13x13;10;0,4;linear;1;95,729;95,622
BSIF;13x13;11;0,4;linear;10;95,833;95,568
BSIF;13x13;11;0,4;linear;100;95,833;95,568
BSIF;13x13;9;0,8;linear;100;95,677;95,544
BSIF;13x13;9;0,8;linear;10;95,677;95,544
BSIF;13x13;9;N/A;linear;10;95,677;95,543
BSIF;13x13;9;N/A;linear;100;95,677;95,543
BSIF;15x15;6;N/A;rbf;1;95,573;95,456
BSIF;13x13;9;0,8;linear;1;95,625;95,403
BSIF;17x17;6;0,2;rbf;1;95,521;95,332
BSIF;13x13;11;0,8;rbf;1;95,625;95,294
BSIF;17x17;10;0,8;poly;100;95,208;95,252
BSIF;17x17;7;0,2;linear;1;95,365;95,241
BSIF;13x13;11;N/A;rbf;1;95,573;95,223
BSIF;13x13;9;0,6;linear;1;95,417;95,217
BSIF;13x13;10;0,4;linear;100;95,26;95,088
BSIF;13x13;10;0,4;linear;10;95,26;95,088
BSIF;17x17;8;0,2;rbf;10;95,26;95,072
BSIF;15x15;6;0,8;rbf;1;95,208;95,072
BSIF;17x17;10;0,6;poly;100;95,104;95,067
BSIF;17x17;10;0,4;poly;100;95,052;95,066
BSIF;15x15;6;N/A;rbf;100;95,156;95,055
BSIF;15x15;6;N/A;rbf;10;95,156;95,055
BSIF;17x17;5;0,8;linear;1;95,521;95,045
BSIF;13x13;11;0,6;rbf;1;95,365;95,043
BSIF;17x17;5;N/A;linear;1;95,521;95,041
BSIF;13x13;9;N/A;rbf;1;95,312;95,021
BSIF;13x13;9;0,6;linear;10;95,208;95,016
BSIF;13x13;9;0,6;linear;100;95,208;95,016
BSIF;13x13;9;N/A;poly;100;95,156;95,006
BSIF;13x13;9;N/A;poly;10;95,156;95,006
BSIF;13x13;9;N/A;poly;1;95,156;95,006
BSIF;15x15;6;0,6;rbf;1;95,104;94,978
BSIF;17x17;5;N/A;linear;10;95,365;94,964
BSIF;13x13;9;0,8;rbf;1;95,26;94,96
BSIF;13x13;8;N/A;rbf;10;95,104;94,923
BSIF;13x13;8;N/A;rbf;100;95,104;94,923
BSIF;13x13;8;0,8;rbf;10;95,104;94,92
BSIF;13x13;8;0,8;rbf;100;95,104;94,92
BSIF;17x17;5;0,4;linear;1;95,312;94,905
BSIF;13x13;9;0,6;rbf;1;95,156;94,873
BSIF;17x17;5;N/A;linear;100;95,26;94,869
BSIF;17x17;12;0,2;linear;10;95,052;94,861
BSIF;17x17;12;0,2;linear;100;95,052;94,861
BSIF;17x17;6;0,2;linear;1;95,208;94,852
BSIF;17x17;5;0,6;linear;1;95,312;94,849
BSIF;15x15;6;0,8;rbf;10;94,948;94,843
BSIF;15x15;6;0,8;rbf;100;94,948;94,843
BSIF;17x17;8;0,2;rbf;100;95;94,831
BSIF;17x17;5;0,8;linear;10;95,208;94,808
BSIF;13x13;11;0,4;rbf;1;95,104;94,767
BSIF;17x17;5;0,8;linear;100;95,156;94,763
BSIF;13x13;7;N/A;linear;100;94,948;94,755
BSIF;13x13;7;N/A;linear;10;94,948;94,755
