Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi;Macro F1-score
MTCD+BSIF;17x17;11;0,4;rbf;10;99,427;99,416
MTCD+BSIF;15x15;7;0,4;linear;100;99,427;99,406
MTCD+BSIF;15x15;7;0,4;linear;10;99,427;99,406
MTCD+BSIF;15x15;8;N/A;rbf;100;99,427;99,405
MTCD+BSIF;15x15;8;N/A;rbf;10;99,427;99,405
MTCD+BSIF;17x17;12;0,6;rbf;100;99,427;99,405
MTCD+BSIF;17x17;12;0,6;rbf;10;99,427;99,405
MTCD+BSIF;15x15;8;N/A;linear;1;99,427;99,395
MTCD+BSIF;15x15;8;0,8;linear;1;99,427;99,395
MTCD+BSIF;15x15;7;N/A;linear;1;99,427;99,384
MTCD+BSIF;15x15;7;0,8;linear;1;99,427;99,384
MTCD+BSIF;17x17;10;0,2;linear;1;99,375;99,364
MTCD+BSIF;17x17;9;0,2;rbf;100;99,375;99,35
MTCD+BSIF;17x17;9;0,2;rbf;10;99,375;99,35
MTCD+BSIF;17x17;6;0,4;rbf;10;99,375;99,343
MTCD+BSIF;17x17;6;0,8;rbf;10;99,375;99,343
MTCD+BSIF;17x17;6;0,4;rbf;100;99,375;99,343
MTCD+BSIF;17x17;6;0,8;rbf;100;99,375;99,343
MTCD+BSIF;17x17;6;0,6;rbf;100;99,375;99,343
MTCD+BSIF;17x17;6;0,6;rbf;10;99,375;99,343
MTCD+BSIF;17x17;5;0,2;linear;1;99,375;99,341
MTCD+BSIF;15x15;10;0,4;rbf;10;99,375;99,341
MTCD+BSIF;15x15;10;0,4;rbf;100;99,375;99,341
MTCD+BSIF;15x15;7;N/A;rbf;10;99,375;99,332
MTCD+BSIF;17x17;8;0,2;linear;10;99,323;99,315
MTCD+BSIF;17x17;8;0,2;linear;100;99,323;99,315
MTCD+BSIF;17x17;8;0,2;linear;1;99,323;99,311
MTCD+BSIF;17x17;10;0,6;rbf;1;99,323;99,311
MTCD+BSIF;17x17;7;0,6;rbf;1;99,375;99,309
MTCD+BSIF;13x13;9;N/A;rbf;100;99,323;99,292
MTCD+BSIF;13x13;9;N/A;rbf;10;99,323;99,292
MTCD+BSIF;15x15;8;0,4;linear;1;99,323;99,29
MTCD+BSIF;17x17;5;0,2;linear;10;99,323;99,289
MTCD+BSIF;17x17;5;0,2;linear;100;99,323;99,289
MTCD+BSIF;17x17;12;0,2;linear;1;99,323;99,287
MTCD+BSIF;17x17;6;0,6;rbf;1;99,323;99,286
MTCD+BSIF;17x17;7;0,2;rbf;100;99,323;99,283
MTCD+BSIF;17x17;7;0,2;rbf;10;99,323;99,283
MTCD+BSIF;15x15;7;N/A;poly;1;99,323;99,275
MTCD+BSIF;17x17;10;0,8;rbf;1;99,271;99,255
MTCD+BSIF;17x17;10;0,4;rbf;1;99,271;99,255
MTCD+BSIF;17x17;10;0,2;rbf;10;99,271;99,25
MTCD+BSIF;17x17;10;0,2;rbf;100;99,271;99,25
MTCD+BSIF;15x15;11;N/A;poly;10;99,271;99,247
MTCD+BSIF;15x15;11;N/A;poly;100;99,271;99,247
MTCD+BSIF;15x15;11;N/A;poly;1;99,271;99,247
MTCD+BSIF;17x17;12;0,4;rbf;10;99,271;99,246
MTCD+BSIF;17x17;12;0,4;rbf;100;99,271;99,246
MTCD+BSIF;15x15;8;0,6;linear;100;99,271;99,245
MTCD+BSIF;15x15;8;0,6;linear;10;99,271;99,245
MTCD+BSIF;17x17;12;0,2;linear;10;99,271;99,245
MTCD+BSIF;17x17;12;0,2;linear;100;99,271;99,245
MTCD+BSIF;15x15;11;0,8;linear;1;99,271;99,241
MTCD+BSIF;15x15;11;0,6;linear;100;99,271;99,241
MTCD+BSIF;15x15;11;0,8;linear;10;99,271;99,241
MTCD+BSIF;15x15;11;0,6;linear;10;99,271;99,241
MTCD+BSIF;15x15;11;0,8;linear;100;99,271;99,241
MTCD+BSIF;15x15;11;0,6;linear;1;99,271;99,241
MTCD+BSIF;15x15;11;N/A;rbf;10;99,271;99,241
MTCD+BSIF;15x15;11;N/A;rbf;100;99,271;99,241
MTCD+BSIF;15x15;11;N/A;linear;100;99,271;99,241
MTCD+BSIF;15x15;11;N/A;linear;10;99,271;99,241
MTCD+BSIF;15x15;11;N/A;linear;1;99,271;99,241
MTCD+BSIF;15x15;8;0,8;linear;100;99,271;99,237
MTCD+BSIF;15x15;8;0,8;linear;10;99,271;99,237
MTCD+BSIF;17x17;6;0,4;rbf;1;99,271;99,226
MTCD+BSIF;17x17;6;0,8;rbf;1;99,271;99,226
MTCD+BSIF;17x17;7;0,8;rbf;1;99,323;99,225
MTCD+BSIF;17x17;8;0,6;rbf;1;99,271;99,225
MTCD+BSIF;17x17;8;0,4;rbf;1;99,271;99,225
MTCD+BSIF;17x17;8;0,8;rbf;1;99,271;99,225
MTCD+BSIF;15x15;7;0,6;linear;1;99,323;99,221
MTCD+BSIF;13x13;9;0,8;linear;10;99,271;99,217
MTCD+BSIF;13x13;9;N/A;linear;100;99,271;99,217
MTCD+BSIF;13x13;9;0,8;linear;100;99,271;99,217
MTCD+BSIF;13x13;9;N/A;linear;10;99,271;99,217
MTCD+BSIF;17x17;10;0,2;linear;10;99,219;99,205
MTCD+BSIF;17x17;10;0,2;linear;100;99,219;99,205
MTCD+BSIF;17x17;8;0,2;rbf;100;99,219;99,203
MTCD+BSIF;17x17;8;0,2;rbf;10;99,219;99,203
MTCD+BSIF;15x15;8;N/A;poly;1;99,219;99,203
MTCD+BSIF;15x15;11;0,4;rbf;100;99,219;99,189
MTCD+BSIF;15x15;11;0,8;rbf;10;99,219;99,189
MTCD+BSIF;15x15;11;0,4;linear;100;99,219;99,189
MTCD+BSIF;15x15;11;0,8;rbf;100;99,219;99,189
MTCD+BSIF;15x15;11;0,4;rbf;10;99,219;99,189
MTCD+BSIF;15x15;11;0,6;rbf;100;99,219;99,189
MTCD+BSIF;15x15;11;0,4;linear;10;99,219;99,189
MTCD+BSIF;15x15;11;0,6;rbf;10;99,219;99,189
MTCD+BSIF;13x13;9;0,8;linear;1;99,219;99,187
MTCD+BSIF;15x15;8;N/A;linear;10;99,219;99,184
MTCD+BSIF;15x15;8;N/A;linear;100;99,219;99,184
MTCD+BSIF;15x15;5;N/A;rbf;100;99,219;99,168
MTCD+BSIF;15x15;5;N/A;rbf;10;99,219;99,168
MTCD+BSIF;13x13;9;0,6;linear;100;99,219;99,165
MTCD+BSIF;13x13;9;N/A;linear;1;99,219;99,165
MTCD+BSIF;13x13;9;0,6;linear;10;99,219;99,165
MTCD+BSIF;13x13;9;0,6;linear;1;99,219;99,165
MTCD+BSIF;17x17;6;0,2;rbf;10;99,219;99,165
MTCD+BSIF;17x17;6;0,2;rbf;100;99,219;99,165
MTCD+BSIF;17x17;7;0,4;rbf;1;99,219;99,152
MTCD+BSIF;15x15;9;0,2;rbf;10;99,167;99,151
MTCD+BSIF;15x15;9;0,2;rbf;100;99,167;99,151
MTCD+BSIF;15x15;12;N/A;poly;1;99,167;99,148
MTCD+BSIF;15x15;12;N/A;poly;10;99,167;99,148
MTCD+BSIF;15x15;12;N/A;poly;100;99,167;99,148
MTCD+BSIF;15x15;11;0,4;linear;1;99,167;99,137
MTCD+BSIF;15x15;8;0,6;rbf;10;99,167;99,135
MTCD+BSIF;15x15;8;0,8;rbf;100;99,167;99,135
MTCD+BSIF;15x15;8;0,6;rbf;100;99,167;99,135
MTCD+BSIF;15x15;8;0,8;rbf;10;99,167;99,135
MTCD+BSIF;15x15;9;0,2;linear;10;99,167;99,134
