Fitur;PCA;Kernel;C;Akurasi
MTCD;0,6;rbf;10;99,479 $\pm$ 0,233
MTCD;0,4;linear;10;99,479 $\pm$ 0,345
MTCD;0,4;linear;100;99,479 $\pm$ 0,345
MTCD;0,8;rbf;10;99,479 $\pm$ 0,312
MTCD;0,8;rbf;100;99,479 $\pm$ 0,312
MTCD;0,6;linear;1;99,479 $\pm$ 0,454
MTCD;0,8;rbf;100;99,479 $\pm$ 0,454
MTCD;0,8;rbf;10;99,479 $\pm$ 0,454
MTCD;0,4;linear;100;99,479 $\pm$ 0,429
MTCD;0,6;linear;10;99,479 $\pm$ 0,429
MTCD;0,4;linear;10;99,479 $\pm$ 0,429
MTCD;0,6;linear;100;99,479 $\pm$ 0,429
MTCD;N/A;rbf;100;99,479 $\pm$ 0,454
MTCD;0,4;rbf;10;99,427 $\pm$ 0,4
MTCD;0,4;rbf;100;99,427 $\pm$ 0,4
MTCD;0,2;linear;1;99,427 $\pm$ 0,308
MTCD;N/A;rbf;100;99,427 $\pm$ 0,308
MTCD;N/A;rbf;10;99,427 $\pm$ 0,308
MTCD;0,6;rbf;100;99,427 $\pm$ 0,271
MTCD;0,6;rbf;10;99,427 $\pm$ 0,271
MTCD;0,6;rbf;1;99,427 $\pm$ 0,559
MTCD;N/A;linear;1;99,427 $\pm$ 0,308
MTCD;0,8;linear;1;99,427 $\pm$ 0,451
MTCD;0,4;rbf;10;99,427 $\pm$ 0,308
MTCD;0,4;rbf;100;99,427 $\pm$ 0,308
MTCD;0,8;linear;1;99,427 $\pm$ 0,648
MTCD;N/A;linear;1;99,427 $\pm$ 0,648
MTCD;0,4;rbf;1;99,375 $\pm$ 0,329
MTCD;0,2;rbf;10;99,375 $\pm$ 0,208
MTCD;0,2;rbf;100;99,375 $\pm$ 0,208
MTCD;0,6;rbf;100;99,375 $\pm$ 0,361
MTCD;0,4;rbf;100;99,375 $\pm$ 0,361
MTCD;0,4;rbf;10;99,375 $\pm$ 0,361
MTCD;0,6;rbf;10;99,375 $\pm$ 0,361
MTCD;0,8;rbf;10;99,375 $\pm$ 0,361
MTCD;0,8;rbf;100;99,375 $\pm$ 0,361
MTCD;0,2;linear;1;99,375 $\pm$ 0,571
MTCD;N/A;rbf;10;99,375 $\pm$ 0,625
MTCD;0,2;linear;10;99,323 $\pm$ 0,308
MTCD;0,2;linear;100;99,323 $\pm$ 0,308
MTCD;0,2;linear;1;99,323 $\pm$ 0,372
MTCD;0,6;rbf;1;99,323 $\pm$ 0,173
MTCD;0,6;rbf;1;99,375 $\pm$ 0,737
MTCD;N/A;rbf;100;99,323 $\pm$ 0,578
MTCD;N/A;rbf;10;99,323 $\pm$ 0,578
MTCD;0,4;linear;1;99,323 $\pm$ 0,4
MTCD;0,2;linear;100;99,323 $\pm$ 0,648
MTCD;0,2;linear;10;99,323 $\pm$ 0,648
MTCD;0,6;rbf;1;99,323 $\pm$ 0,4
MTCD;0,2;rbf;10;99,323 $\pm$ 0,578
MTCD;0,2;rbf;100;99,323 $\pm$ 0,578
MTCD;N/A;poly;1;99,323 $\pm$ 0,712
MTCD;0,2;linear;10;99,271 $\pm$ 0,345
MTCD;0,2;linear;100;99,271 $\pm$ 0,345
MTCD;0,2;rbf;10;99,271 $\pm$ 0,233
MTCD;0,2;rbf;100;99,271 $\pm$ 0,233
MTCD;0,8;rbf;1;99,271 $\pm$ 0,233
MTCD;0,4;rbf;1;99,271 $\pm$ 0,233
MTCD;N/A;poly;10;99,271 $\pm$ 0,312
MTCD;N/A;poly;100;99,271 $\pm$ 0,312
MTCD;N/A;poly;1;99,271 $\pm$ 0,312
MTCD;0,6;linear;10;99,271 $\pm$ 0,429
MTCD;0,6;linear;100;99,271 $\pm$ 0,429
MTCD;0,4;rbf;100;99,271 $\pm$ 0,376
MTCD;0,4;rbf;10;99,271 $\pm$ 0,376
MTCD;0,6;linear;100;99,271 $\pm$ 0,312
MTCD;0,8;linear;100;99,271 $\pm$ 0,312
MTCD;0,8;linear;10;99,271 $\pm$ 0,312
MTCD;N/A;linear;100;99,271 $\pm$ 0,312
MTCD;0,6;linear;10;99,271 $\pm$ 0,312
MTCD;N/A;rbf;100;99,271 $\pm$ 0,312
MTCD;0,6;linear;1;99,271 $\pm$ 0,312
MTCD;0,8;linear;1;99,271 $\pm$ 0,312
MTCD;N/A;linear;10;99,271 $\pm$ 0,312
MTCD;N/A;linear;1;99,271 $\pm$ 0,312
MTCD;N/A;rbf;10;99,271 $\pm$ 0,312
MTCD;0,8;linear;100;99,271 $\pm$ 0,345
MTCD;0,8;linear;10;99,271 $\pm$ 0,345
MTCD;0,2;linear;1;99,271 $\pm$ 0,541
MTCD;0,4;rbf;1;99,271 $\pm$ 0,454
MTCD;0,8;rbf;1;99,271 $\pm$ 0,454
MTCD;0,8;rbf;1;99,323 $\pm$ 0,812
MTCD;0,4;rbf;1;99,271 $\pm$ 0,541
MTCD;0,8;rbf;1;99,271 $\pm$ 0,541
MTCD;0,6;linear;1;99,323 $\pm$ 0,825
MTCD;0,8;linear;100;99,271 $\pm$ 0,561
MTCD;N/A;linear;10;99,271 $\pm$ 0,561
MTCD;0,8;linear;10;99,271 $\pm$ 0,561
MTCD;N/A;linear;100;99,271 $\pm$ 0,561
MTCD;N/A;poly;1;99,219 $\pm$ 0,227
MTCD;0,4;rbf;1;99,219 $\pm$ 0,539
MTCD;0,2;rbf;10;99,219 $\pm$ 0,4
