Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi
BSIF;15x15;12;0,8;rbf;1;96,771 $\pm$ 1,777
BSIF;13x13;10;0,8;rbf;1;96,719 $\pm$ 1,636
BSIF;15x15;10;0,2;rbf;10;96,719 $\pm$ 0,712
BSIF;15x15;10;0,2;rbf;100;96,719 $\pm$ 0,712
BSIF;15x15;12;N/A;rbf;1;96,719 $\pm$ 1,989
BSIF;15x15;12;0,4;linear;100;96,719 $\pm$ 1,575
BSIF;15x15;12;0,4;linear;10;96,719 $\pm$ 1,575
BSIF;13x13;11;N/A;linear;100;96,667 $\pm$ 1,206
BSIF;13x13;11;N/A;linear;10;96,667 $\pm$ 1,206
BSIF;13x13;10;N/A;rbf;1;96,667 $\pm$ 1,647
BSIF;15x15;9;0,4;linear;10;96,667 $\pm$ 0,691
BSIF;15x15;9;0,4;linear;100;96,667 $\pm$ 0,691
BSIF;17x17;11;0,2;linear;100;96,667 $\pm$ 1,179
BSIF;13x13;10;N/A;rbf;10;96,667 $\pm$ 1,259
BSIF;13x13;10;N/A;rbf;100;96,667 $\pm$ 1,259
BSIF;15x15;12;0,4;linear;1;96,667 $\pm$ 1,64
BSIF;17x17;6;0,4;linear;1;96,615 $\pm$ 0,697
BSIF;13x13;11;N/A;rbf;100;96,615 $\pm$ 0,992
BSIF;13x13;11;N/A;rbf;10;96,615 $\pm$ 0,992
BSIF;13x13;11;N/A;linear;1;96,615 $\pm$ 0,864
BSIF;13x13;10;0,6;rbf;1;96,562 $\pm$ 1,63
BSIF;13x13;10;0,8;rbf;100;96,562 $\pm$ 1,288
BSIF;13x13;10;0,8;rbf;10;96,562 $\pm$ 1,288
BSIF;15x15;12;0,6;rbf;1;96,562 $\pm$ 2,001
BSIF;17x17;6;0,4;linear;10;96,51 $\pm$ 0,876
BSIF;13x13;11;0,8;linear;10;96,51 $\pm$ 1,191
BSIF;13x13;11;0,8;linear;100;96,51 $\pm$ 1,191
BSIF;13x13;10;N/A;linear;1;96,51 $\pm$ 1,337
BSIF;13x13;11;0,8;linear;1;96,458 $\pm$ 0,872
BSIF;13x13;11;0,6;linear;1;96,458 $\pm$ 0,988
BSIF;13x13;11;0,6;linear;10;96,458 $\pm$ 1,405
BSIF;13x13;11;0,6;linear;100;96,458 $\pm$ 1,405
BSIF;13x13;10;0,8;linear;1;96,458 $\pm$ 1,405
BSIF;17x17;6;0,4;linear;100;96,406 $\pm$ 1,236
BSIF;15x15;7;0,4;linear;100;96,406 $\pm$ 0,924
BSIF;15x15;7;0,4;linear;10;96,406 $\pm$ 0,924
BSIF;13x13;10;N/A;linear;100;96,406 $\pm$ 0,901
